serialNumber,date,latestFullness,fullnessThreshold,reason_code,longitude,latitude,year,month,day,weekday
1510830,2019-01-11,1.8571428571428572,6.0,2,144.6601949611,-37.9018111375,2019,1,11,4
1510830,2019-01-12,1.7142857142857144,6.0,2,144.6601949611,-37.9018111375,2019,1,12,5
1510830,2019-01-13,1.5714285714285714,6.0,2,144.6601949611,-37.9018111375,2019,1,13,6
1510830,2019-01-14,1.4285714285714286,6.0,2,144.6601949611,-37.9018111375,2019,1,14,0
1510830,2019-01-15,1.2857142857142858,6.0,2,144.6601949611,-37.9018111375,2019,1,15,1
1510830,2019-01-16,1.1428571428571428,6.0,2,144.6601949611,-37.9018111375,2019,1,16,2
1510830,2019-01-17,1.0,6.0,2,144.6601949611,-37.9018111375,2019,1,17,3
1510830,2019-01-18,0.8571428571428572,6.0,2,144.6601949611,-37.9018111375,2019,1,18,4
1510830,2019-01-19,0.7142857142857144,6.0,2,144.6601949611,-37.9018111375,2019,1,19,5
1510830,2019-01-20,0.5714285714285716,6.0,2,144.6601949611,-37.9018111375,2019,1,20,6
1510830,2019-01-21,0.4285714285714286,6.0,2,144.6601949611,-37.9018111375,2019,1,21,0
1510830,2019-01-22,0.2857142857142858,6.0,2,144.6601949611,-37.9018111375,2019,1,22,1
1510830,2019-01-23,0.14285714285714302,6.0,2,144.6601949611,-37.9018111375,2019,1,23,2
1510830,2019-01-24,0.0,6.0,2,144.6601949611,-37.9018111375,2019,1,24,3
1510830,2019-01-25,1.0,6.0,2,144.6601949611,-37.9018111375,2019,1,25,4
1510830,2019-01-26,2.0,6.0,2,144.6601949611,-37.9018111375,2019,1,26,5
1510830,2019-01-27,3.0,6.0,2,144.6601949611,-37.9018111375,2019,1,27,6
1510830,2019-01-28,4.0,6.0,2,144.6601949611,-37.9018111375,2019,1,28,0
1510830,2019-01-29,5.0,6.0,2,144.6601949611,-37.9018111375,2019,1,29,1
1510830,2019-01-30,6.0,6.0,1,144.6601949611,-37.9018111375,2019,1,30,2
1510830,2019-01-31,6.0,6.0,1,144.6601949611,-37.9018111375,2019,1,31,3
1510830,2019-02-01,5.809523809523809,6.0,1,144.6601949611,-37.9018111375,2019,2,1,4
1510830,2019-02-02,5.619047619047619,6.0,1,144.6601949611,-37.9018111375,2019,2,2,5
1510830,2019-02-03,5.428571428571429,6.0,1,144.6601949611,-37.9018111375,2019,2,3,6
1510830,2019-02-04,5.238095238095238,6.0,1,144.6601949611,-37.9018111375,2019,2,4,0
1510830,2019-02-05,5.0476190476190474,6.0,1,144.6601949611,-37.9018111375,2019,2,5,1
1510830,2019-02-06,4.857142857142858,6.0,1,144.6601949611,-37.9018111375,2019,2,6,2
1510830,2019-02-07,4.666666666666667,6.0,1,144.6601949611,-37.9018111375,2019,2,7,3
1510830,2019-02-08,4.476190476190476,6.0,1,144.6601949611,-37.9018111375,2019,2,8,4
1510830,2019-02-09,4.285714285714286,6.0,1,144.6601949611,-37.9018111375,2019,2,9,5
1510830,2019-02-10,4.095238095238095,6.0,1,144.6601949611,-37.9018111375,2019,2,10,6
1510830,2019-02-11,3.904761904761905,6.0,1,144.6601949611,-37.9018111375,2019,2,11,0
1510830,2019-02-12,3.7142857142857144,6.0,1,144.6601949611,-37.9018111375,2019,2,12,1
1510830,2019-02-13,3.5238095238095237,6.0,1,144.6601949611,-37.9018111375,2019,2,13,2
1510830,2019-02-14,3.3333333333333335,6.0,1,144.6601949611,-37.9018111375,2019,2,14,3
1510830,2019-02-15,3.1428571428571432,6.0,1,144.6601949611,-37.9018111375,2019,2,15,4
1510830,2019-02-16,2.9523809523809526,6.0,1,144.6601949611,-37.9018111375,2019,2,16,5
1510830,2019-02-17,2.761904761904762,6.0,1,144.6601949611,-37.9018111375,2019,2,17,6
1510830,2019-02-18,2.5714285714285716,6.0,1,144.6601949611,-37.9018111375,2019,2,18,0
